name,team,gp,gs,min,fg,fga,fg%,3p,3pa,3p%,2p,2pa,2p%,efg%,ft,fta,ft%,orb,drb,reb,ast,stl,blk,to,pf,pts,index
A. Abdul Bari,QUE,2.0,2.0,26.667,3.5,7.5,0.467,0.0,0.5,0.0,3.5,7.0,0.5,0.467,2.5,4.5,0.556,6.5,8.0,14.5,1.0,2.5,0.5,5.5,2.0,9.5,18.1
A. Hamza,QUE,2.0,2.0,22.225,1.0,5.0,0.2,0.5,4.5,0.111,0.5,0.5,1.0,0.25,1.5,3.0,0.5,1.0,2.0,3.0,2.0,0.5,0.0,1.0,0.5,4.0,4.6
A. Inasha,QUE,2.0,2.0,21.9,3.0,7.5,0.4,0.0,2.5,0.0,3.0,5.0,0.6,0.4,2.0,4.0,0.5,2.5,2.0,4.5,3.5,3.0,0.0,1.0,2.0,8.0,18.3
A. Ishag,QUE,2.0,2.0,10.083,1.0,5.5,0.182,0.5,3.5,0.143,0.5,2.0,0.25,0.227,1.0,1.0,1.0,0.5,1.0,1.5,0.0,1.5,0.0,1.5,1.0,3.5,0.6
A. Israau Abdul Shukoor,QUE,2.0,2.0,20.175,4.5,12.5,0.36,0.0,2.5,0.0,4.5,10.0,0.45,0.36,0.0,0.0,,3.0,5.5,8.5,1.0,2.5,0.5,4.0,1.5,9.0,9.5
A. Lua Ibrahim,ELT,2.0,2.0,33.092,1.5,13.5,0.111,0.0,5.5,0.0,1.5,8.0,0.188,0.111,1.0,4.5,0.222,1.0,2.5,3.5,4.0,2.0,0.0,8.0,1.0,4.0,-16.8
A. Mohamed Khuwailid,ELT,2.0,2.0,0.808,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A. Ravindran,ECS,2.0,2.0,20.842,0.5,3.0,0.167,0.5,1.5,0.333,0.0,1.5,0.0,0.25,0.0,1.0,0.0,1.0,1.5,2.5,1.0,0.0,0.0,1.0,0.0,1.5,0.1
D. Sandali,ECS,2.0,2.0,22.65,1.0,8.0,0.125,0.0,0.5,0.0,1.0,7.5,0.133,0.125,1.0,1.0,1.0,0.5,2.5,3.0,0.0,0.5,0.5,3.5,2.5,3.0,-9.5
F. E-Hau Shameem,QUE,2.0,2.0,23.092,3.0,6.5,0.462,0.0,1.0,0.0,3.0,5.5,0.545,0.462,3.0,3.5,0.857,0.0,2.5,2.5,3.0,2.5,0.0,3.5,2.0,9.0,13.0
F. Maldha Sobah,ELT,2.0,2.0,19.942,1.5,3.0,0.5,0.0,1.5,0.0,1.5,1.5,1.0,0.5,1.0,1.5,0.667,1.5,1.0,2.5,0.5,1.0,0.5,2.5,3.0,4.0,3.3
F. Rishma,QUE,2.0,2.0,24.883,4.5,8.0,0.562,0.5,0.5,1.0,4.0,7.5,0.533,0.594,1.5,2.5,0.6,8.0,4.5,12.5,3.5,2.0,0.0,6.0,2.5,11.0,22.4
F. Shujau,QUE,2.0,2.0,4.6,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.5,0.5,0.5,0.0,0.0,0.5,0.5,0.0,-0.4
G. Mallikaarachchi,ECS,2.0,2.0,8.458,0.0,0.5,0.0,0.0,0.0,,0.0,0.5,0.0,0.0,0.5,1.0,0.5,0.5,1.0,1.5,0.0,1.0,0.0,1.0,1.5,0.5,0.0
H. Ubaidulla,QUE,2.0,2.0,18.258,3.0,11.0,0.273,2.0,9.0,0.222,1.0,2.0,0.5,0.364,1.0,1.5,0.667,0.0,0.5,0.5,1.0,2.0,0.0,1.5,0.5,9.0,6.9
I. Liyanage,ECS,2.0,2.0,7.108,1.0,2.0,0.5,0.0,0.5,0.0,1.0,1.5,0.667,0.5,0.5,0.5,1.0,0.0,1.0,1.0,0.0,0.5,0.0,1.5,0.5,2.5,1.2
I. Thathsarani,ECS,2.0,2.0,25.708,5.5,15.0,0.367,0.5,5.0,0.1,5.0,10.0,0.5,0.383,2.0,2.5,0.8,1.5,4.5,6.0,3.5,5.0,0.0,1.5,3.0,13.5,24.3
K. Nimal,ELT,2.0,2.0,7.708,0.5,2.5,0.2,0.0,1.0,0.0,0.5,1.5,0.333,0.2,0.0,0.0,,0.5,1.0,1.5,0.0,0.5,0.0,2.0,1.5,1.0,-4.0
L. Ahmed Firash,ELT,2.0,2.0,33.717,4.0,10.5,0.381,2.0,7.5,0.267,2.0,3.0,0.667,0.476,0.0,0.5,0.0,0.5,5.5,6.0,1.0,2.5,0.5,6.0,1.0,10.0,6.4
M. Mohamed Sifan,ELT,2.0,2.0,4.108,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.5,0.0,-1.1
M. Shirhan,ELT,2.0,2.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M. Yusra,ELT,2.0,2.0,19.867,1.0,5.0,0.2,0.0,0.5,0.0,1.0,4.5,0.222,0.2,0.5,1.5,0.333,2.0,2.5,4.5,0.5,2.5,0.5,2.5,3.0,2.5,1.3
N. Perera,ECS,2.0,2.0,26.925,5.5,14.0,0.393,1.0,6.0,0.167,4.5,8.0,0.562,0.429,3.0,4.5,0.667,2.5,3.0,5.5,0.5,2.0,0.5,2.0,2.0,15.0,18.7
N. Prasangi,ECS,2.0,2.0,4.717,1.0,2.0,0.5,0.0,0.0,,1.0,2.0,0.5,0.5,0.5,1.0,0.5,1.0,0.0,1.0,0.0,0.5,0.0,0.5,1.5,2.5,2.8
N. Samarasinghe,ECS,2.0,2.0,31.508,4.5,9.0,0.5,0.0,0.0,,4.5,9.0,0.5,0.5,3.5,7.5,0.467,2.5,6.5,9.0,2.0,6.0,3.0,6.0,1.5,12.5,26.0
R. Ibrahim,QUE,2.0,2.0,28.117,3.5,11.5,0.304,2.5,7.0,0.357,1.0,4.5,0.222,0.413,1.5,2.0,0.75,1.5,2.0,3.5,2.0,4.0,0.0,4.0,1.0,11.0,13.6
S. Nagenthiram,ECS,2.0,2.0,2.508,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.5,1.0,0.5,1.0,1.5,2.5,0.0,0.0,0.0,0.5,1.5,0.5,0.7
S. Perera Adikarige,ECS,2.0,2.0,22.292,1.0,2.0,0.5,0.0,0.5,0.0,1.0,1.5,0.667,0.5,1.0,1.0,1.0,1.0,4.5,5.5,0.5,3.5,0.5,3.0,3.5,3.0,7.7
S. Pullippu Widanalage,ECS,2.0,2.0,18.083,1.5,6.0,0.25,1.0,2.0,0.5,0.5,4.0,0.125,0.333,1.0,1.5,0.667,0.0,2.0,2.0,0.5,1.5,0.0,2.5,3.5,5.0,-0.5
S. Zakariya,ELT,2.0,2.0,34.842,3.5,8.0,0.438,2.0,4.5,0.444,1.5,3.5,0.429,0.562,0.5,3.0,0.167,0.5,1.5,2.0,1.5,2.0,0.0,3.5,1.0,9.5,8.5
Y. Perera,ECS,2.0,2.0,9.2,0.5,4.0,0.125,0.0,2.5,0.0,0.5,1.5,0.333,0.125,1.0,1.0,1.0,0.5,1.5,2.0,1.0,0.5,0.0,3.5,1.0,2.0,-5.0
Z. Ashraf Ali,ELT,4.0,4.0,21.367,1.0,5.5,0.182,0.25,2.5,0.1,0.75,3.0,0.25,0.205,1.5,2.5,0.6,1.0,2.0,3.0,1.0,2.0,0.5,3.75,2.5,3.75,-2.0
Z. Shiham,ELT,2.0,2.0,3.183,0.0,0.5,0.0,0.0,0.0,,0.0,0.5,0.0,0.0,0.0,0.0,,0.5,0.0,0.5,0.0,0.0,0.0,2.0,0.0,0.0,-4.0
